"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"NOTES";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART_NO";"PIE-DIGIKEY-PN-PRI";"PIE-INT-REF-NUM";"PROD_ID";"VALUE";"VENDOR";
"1";"";"CONN_02";"1X02";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"CONN_04";"1X04";"J3, J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";
"1";"";"CONN_07";"1X07";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";".1uF";"CAP0402-CAP";"0402-CAP";"C6, C12, C15, C20, C21, C23, C27";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"2";"100nF";"CAP0402-CAP";"0402-CAP";"C17, C19";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"1";"100pF";"CAP0402-CAP";"0402-CAP";"C16";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"2";"10k";"R-US_R0402";"R0402";"R27, R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";
"1";"10nF";"CAP0402-CAP";"0402-CAP";"C13";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"1";"10uF";"CAP0603-CAP";"0603-CAP";"C22";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"1";"10uH";"INDUCTOR_0805";"R0805";"L2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"150R";"R-US_R0402";"R0402";"R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";
"2";"1SS387CT";"1SS387CT";"SOD-882";"D1, D2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1SS387CT";"";"";"";"";"";
"6";"1nF";"CAP0402-CAP";"0402-CAP";"C8, C9, C10, C11, C24, C25";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"12";"1uF";"CAP0402-CAP";"0402-CAP";"C1, C3, C5, C7, C14, C26, C28, C29, C30, C31, C32, C33";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"4";"21k";"R-US_R0402";"R0402";"R15, R16, R17, R18";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";
"2";"270R";"R-US_R0603";"R0603";"R9, R12";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"";"Rohm Semiconductor";"";"";"";"";"";"";"Cut Tape";"";"";"R0603";"";"";"";"";">VALUE";"";
"6";"30k";"R-US_R0603";"R0603";"R1, R2, R3, R5, R7, R10";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"";"Rohm Semiconductor";"";"";"";"";"";"";"Cut Tape";"";"";"R0603";"";"";"";"";">VALUE";"";
"1";"4.7uF";"CAP0402-CAP";"0402-CAP";"C18";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";
"1";"47k";"R-US_R0603";"R0603";"R13";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"";"Rohm Semiconductor";"";"";"";"";"";"";"Cut Tape";"";"";"R0603";"";"";"";"";">VALUE";"";
